id,file_name,age,speaker,sentence,subject,embedded_subject,sentence_type,embedded_type,adverb,modal,embedded_modal,negation,aspect,embedded_aspect,tense,in_context,where_context,translation,contrast,where_contrast,belief_at_stake
482,ZhouAssessment/3-3.5/FJlinshucheng,,teacher,"CHI: 还有什么菜?
CHI: 西兰花.
TEA: 哦,西兰花你都知道呀!",second_person,NP,declarative,none,,,,,,,,,,,,,
483,ZhouAssessment/3-3.5/FJlinshucheng,,teacher,"TEA: 哇,这是什么菜哟?
CHI: 小豆苗.
TEA: 哦,小豆苗,你知道<小豆苗>[/]小豆苗.",second_person,NP,declarative,none,,,,,,,,,,,,,
484,ZhouAssessment/3-3.5/FJlinziwu,,child,"TEA: 坐在桌子边上那是什么小动物呀?
CHI: 不知道.
TEA: 不知道呀,这是小猪.",dropped,omitted,declarative,none,no,no,no,yes,no,no,no,p?,before,,no,no,
485,ZhouAssessment/3-3.5/FJlinziwu,,teacher,"TEA: 坐在桌子边上那是什么小动物呀?
CHI: 不知道.
TEA: 不知道呀,这是小猪.",dropped,omitted,declarative,none,no,no,no,yes,no,no,no,not_know,before,,no,no,
486,ZhouAssessment/3-3.5/FJlinziwu,,child,"TEA: 谁给他们做饭呀?
CHI: 不知道.
TEA: 你觉得谁可以给他们做饭.
CHI: 谁来做饭?
TEA: 对啊,谁来做饭是爸爸做饭还是妈妈做饭?
CHI: 不知道.
TEA: 不知道呀,那你们家是爸爸做饭还是妈妈做饭?
CHI: 不知道.
TEA: 也不知道你们家是奶奶做饭,是不是?
CHI: 嗯.",dropped,omitted,declarative,none,no,no,no,yes,no,no,no,p?,before,,觉得,after,
487,ZhouAssessment/3-3.5/FJlinziwu,,child,"TEA: 谁给他们做饭呀?
CHI: 不知道.
TEA: 你觉得谁可以给他们做饭.
CHI: 谁来做饭?
TEA: 对啊,谁来做饭是爸爸做饭还是妈妈做饭?
CHI: 不知道.
TEA: 不知道呀,那你们家是爸爸做饭还是妈妈做饭?
CHI: 不知道.
TEA: 也不知道你们家是奶奶做饭,是不是?
CHI: 嗯.",dropped,omitted,declarative,none,no,no,no,yes,no,no,no,p?,before,,,,
488,ZhouAssessment/3-3.5/FJlinziwu,,teacher,"TEA: 谁给他们做饭呀?
CHI: 不知道.
TEA: 你觉得谁可以给他们做饭.
CHI: 谁来做饭?
TEA: 对啊,谁来做饭是爸爸做饭还是妈妈做饭?
CHI: 不知道.
TEA: 不知道呀,那你们家是爸爸做饭还是妈妈做饭?
CHI: 不知道.
TEA: 也不知道你们家是奶奶做饭,是不是?
CHI: 嗯.",dropped,omitted,declarative,none,no,no,no,yes,no,no,no,no,no,,不知道,before,
489,ZhouAssessment/3-3.5/FJlinziwu,,child,"TEA: 谁给他们做饭呀?
CHI: 不知道.
TEA: 你觉得谁可以给他们做饭.
CHI: 谁来做饭?
TEA: 对啊,谁来做饭是爸爸做饭还是妈妈做饭?
CHI: 不知道.
TEA: 不知道呀,那你们家是爸爸做饭还是妈妈做饭?
CHI: 不知道.
TEA: 也不知道你们家是奶奶做饭,是不是?
CHI: 嗯.",dropped,omitted,declarative,none,no,no,no,yes,no,no,no,p?,before,,no,no,
490,ZhouAssessment/3-3.5/FJlinziwu,,teacher,"TEA: 谁给他们做饭呀?
CHI: 不知道.
TEA: 你觉得谁可以给他们做饭.
CHI: 谁来做饭?
TEA: 对啊,谁来做饭是爸爸做饭还是妈妈做饭?
CHI: 不知道.
TEA: 不知道呀,那你们家是爸爸做饭还是妈妈做饭?
CHI: 不知道.
TEA: 也不知道你们家是奶奶做饭,是不是?
CHI: 嗯.",dropped,omitted,polar,declarative,也,no,no,yes,no,no,no,no,no,,no,no,
491,ZhouAssessment/3-3.5/FJlinziwu,,child,"TEA: 对啊,他们没有妈妈怎么吃饭呢?
TEA: 他们的妈妈呢?
CHI: 不知道.",dropped,omitted,declarative,none,no,no,no,yes,no,no,no,p?,before,,no,no,
769,Zhou2/60/fa06,,mother,"CHI: 鞠老师教我们的.
MOT: 哦妈妈还不知道呢!
CHI: 你[/]你那个时候你还不在的时候.",NP,omitted,declarative,none,还,no,no,yes,no,no,no,no,no,,no,no,
770,Zhou2/60/fa06,,child,"CHI: 那你想把这个涂成红颜色的吗?
MOT: <这个>[/]这个.
CHI: 我知道.",first_person,omitted,declarative,none,no,no,no,no,no,no,no,no,no,,no,no,
771,Zhou2/60/fa07,,mother,"MOT: 那是半圆.
CHI 这个呢?
MOT: 这个不知道.",dropped,NP,declarative,none,no,no,no,no,no,no,no,p?,before,,no,no,
815,Zhou2/60/ma05,,mother,"MOT: 小企鹅飞快地搬了一只冰袋盖到小星星的身上,才满意地走了.
MOT: 它们不知道小星星需要什么对吧?
MOT: 它们把它们认为小星星需要的东西都强加到小星星的身上.",third_person,NP,polar,wh_question,no,no,no,yes,no,no,no,no,no,,认为,after,
